Field Type,ID,Field Name,Original Text,Translated Text
DictKey_ActionRadioText_,325,DictKey_ActionRadioText_325,,
DictKey_ActionRadioText_,338,DictKey_ActionRadioText_338,,
DictKey_ActionRadioText_,647,DictKey_ActionRadioText_647,Reply to Georgian Forces,回复格鲁吉亚部队
DictKey_ActionRadioText_,684,DictKey_ActionRadioText_684,,
DictKey_ActionRadioText_,746,DictKey_ActionRadioText_746,Reply to Georgian Forces,回复格鲁吉亚部队
DictKey_ActionRadioText_,756,DictKey_ActionRadioText_756,Request smoke,请求烟雾标记
DictKey_ActionRadioText_,757,DictKey_ActionRadioText_757,Report visual,报告目视情况
DictKey_ActionRadioText_,761,DictKey_ActionRadioText_761,,
DictKey_ActionRadioText_,762,DictKey_ActionRadioText_762,,
DictKey_ActionRadioText_,763,DictKey_ActionRadioText_763,Request smoke,请求烟雾标记
DictKey_ActionRadioText_,764,DictKey_ActionRadioText_764,,
DictKey_ActionRadioText_,768,DictKey_ActionRadioText_768,,
DictKey_ActionRadioText_,769,DictKey_ActionRadioText_769,,
DictKey_ActionRadioText_,770,DictKey_ActionRadioText_770,Request smoke,请求烟雾标记
DictKey_ActionRadioText_,771,DictKey_ActionRadioText_771,Report visual,报告目视情况
DictKey_ActionRadioText_,939,DictKey_ActionRadioText_939,Report vehicles to the east,报告东边有车辆
DictKey_ActionRadioText_,972,DictKey_ActionRadioText_972,Report vehicles to the east,报告东边有车辆
DictKey_ActionRadioText_,1292,DictKey_ActionRadioText_1292,Checkpoint 38T LN 162 343,检查站 38T LN 162 343
DictKey_ActionRadioText_,1293,DictKey_ActionRadioText_1293,Checkpoint 38T LN 162 343,检查站 38T LN 162 343
DictKey_ActionRadioText_,1303,DictKey_ActionRadioText_1303,Axeman: bulls 017 for 13,Axeman：靶眼017，距离13
DictKey_ActionRadioText_,1304,DictKey_ActionRadioText_1304,Axeman: bulls 017 for 13,Axeman：靶眼017，距离13
DictKey_ActionRadioText_,1305,DictKey_ActionRadioText_1305,Report vehicles to the east,报告东边有车辆
DictKey_ActionRadioText_,1306,DictKey_ActionRadioText_1306,Checkpoint 38T LN 162 343,检查站 38T LN 162 343
DictKey_ActionText_,324,DictKey_ActionText_324,,
DictKey_ActionText_,336,DictKey_ActionText_336,,
DictKey_ActionText_,337,DictKey_ActionText_337,,
DictKey_ActionText_,417,DictKey_ActionText_417,CHEVY LANDS,CHEVY着陆
DictKey_ActionText_,418,DictKey_ActionText_418,LANDED!!!,已着陆！
DictKey_ActionText_,419,DictKey_ActionText_419,"REFERENCE\
Bulls 38 for 32.  \
\
Press SPACE BAR to remove this message.","参考\
靶眼38，距离32。\
\
按空格键以移除此消息。"
DictKey_ActionText_,421,DictKey_ActionText_421,.,。
DictKey_ActionText_,422,DictKey_ActionText_422,,
DictKey_ActionText_,423,DictKey_ActionText_423,"REFERENCE\
Mission frequency: 128 AM\
\
Press SPACE BAR to remove this message.","参考\
任务频率：128 AM\
\
按空格键以移除此消息。"
DictKey_ActionText_,424,DictKey_ActionText_424,.,。
DictKey_ActionText_,460,DictKey_ActionText_460,FL151,FL151
DictKey_ActionText_,461,DictKey_ActionText_461,FL152,FL152
DictKey_ActionText_,567,DictKey_ActionText_567,Press SPACE BAR to check in with Overlord when you reach WP 3.,到达航路点3时，按空格键与Overlord联系。
DictKey_ActionText_,568,DictKey_ActionText_568,,
DictKey_ActionText_,569,DictKey_ActionText_569,,
DictKey_ActionText_,570,DictKey_ActionText_570,"Checkpoint LN-16\
37T LN 162 343","检查站 LN-16\
37T LN 162 343"
DictKey_ActionText_,602,DictKey_ActionText_602,Press SPACE BAR to contact Overlord when you are visual on the outpost.,当目视前哨时，按空格键联系Overlord。
DictKey_ActionText_,604,DictKey_ActionText_604,.,.
DictKey_ActionText_,606,DictKey_ActionText_606,,
DictKey_ActionText_,640,DictKey_ActionText_640,,
DictKey_ActionText_,642,DictKey_ActionText_642,"Proceed towards D-Town (DZHVARI, next to the dam - check your map if necessary). The helicopter was lost north east from there. \
\
Tune to GUARD frequency. If you hear Georgian Special Forces at any time, use F10 radio menu to respond\
\
Press SPACE BAR to remove this message.","前往D镇（DZHVARI，位于水坝旁边——如有需要请查看地图）。一架直升机在该地东北方向失联。\
\
调至GUARD频率。如果听到格鲁吉亚特种部队的消息，使用F10无线电菜单回应。\
\
按空格键移除此消息。"
DictKey_ActionText_,644,DictKey_ActionText_644,.,.
DictKey_ActionText_,681,DictKey_ActionText_681,Check that you are on a correct frequency and press SPACE BAR to contact OVERLORD.,确认你在正确的频率上，然后按空格键联系OVERLORD。
DictKey_ActionText_,685,DictKey_ActionText_685,.,.
DictKey_ActionText_,688,DictKey_ActionText_688,,
DictKey_ActionText_,690,DictKey_ActionText_690,"Check that you are on the new frequency (34.3 FM) on the bottom radio. Switch to OVERLORD on the top radio. \
\
Press SPACE BAR to request AXEMAN position.","确认你最后方的电台（AN/ARC-186-FM）调至新频率（34.3 FM）。最前方的电台（AN/ARC-210）切换到OVERLORD。\
\
按空格键请求AXEMAN位置。"
DictKey_ActionText_,693,DictKey_ActionText_693,.,.
DictKey_ActionText_,739,DictKey_ActionText_739,,
DictKey_ActionText_,741,DictKey_ActionText_741,Press SPACE BAR to request the situation update from AXEMAN.,按空格键请求AXEMAN更新情况。
DictKey_ActionText_,744,DictKey_ActionText_744,.,.
DictKey_ActionText_,747,DictKey_ActionText_747,.,.
DictKey_ActionText_,748,DictKey_ActionText_748,,
DictKey_ActionText_,750,DictKey_ActionText_750,Check that you are on the new frequency (128.2) and press SPACE BAR to request AXEMAN position.,确认你在新频率（128.2）上，然后按空格键请求AXEMAN位置。
DictKey_ActionText_,753,DictKey_ActionText_753,"Use F10 radio menu to:\
\
- request that AXEMAN marks his position with smoke\
\
- report that you are visual on AXEMAN","使用F10无线电菜单：\
\
- 请求AXEMAN用烟雾标记他的位置\
\
- 报告你已目视AXEMAN"
DictKey_ActionText_,758,DictKey_ActionText_758,,
DictKey_ActionText_,765,DictKey_ActionText_765,.,.
DictKey_ActionText_,772,DictKey_ActionText_772,Press SPACE BAR to request nine-line from AXEMAN.,按空格键请求AXEMAN提供九行简报。
DictKey_ActionText_,775,DictKey_ActionText_775,",",","
DictKey_ActionText_,778,DictKey_ActionText_778,,
DictKey_ActionText_,909,DictKey_ActionText_909,Press SPACE BAR to request a nine line from AXEMAN.,按空格键请求AXEMAN提供九行简报。
DictKey_ActionText_,912,DictKey_ActionText_912,",",","
DictKey_ActionText_,934,DictKey_ActionText_934,Press SPACE BAR to request nine line from AXEMAN.,按空格键请求AXEMAN提供九行简报。
DictKey_ActionText_,937,DictKey_ActionText_937,",",","
DictKey_ActionText_,949,DictKey_ActionText_949,"Use normal JTAC radio menu to request nine line. \
\
Press SPACE BAR to remove this message.","使用常规JTAC无线电菜单请求九行简报。\
\
按空格键以移除此消息。"
DictKey_ActionText_,952,DictKey_ActionText_952,",",","
DictKey_ActionText_,954,DictKey_ActionText_954,"Axeman and his team have been killed. You may RTB.\
\
(If you choose to return and land, the campaign will progress normally).\
\
Press SPACE BAR to remove this message.","Axeman和他的队伍已经阵亡。你可以返航。\
\
（如果你选择返回并着陆，战役将正常推进）。\
\
按空格键以移除此消息。"
DictKey_ActionText_,957,DictKey_ActionText_957,",",","
DictKey_ActionText_,1066,DictKey_ActionText_1066,,
DictKey_ActionText_,1141,DictKey_ActionText_1141,,
DictKey_ActionText_,1143,DictKey_ActionText_1143,"(AXEMAN:  IP will be mine position. Offset 246, 1.1 mile, 1785, MANPAD, KN 6784 5798, no mark, 1700 north east, egress east.   )\
\
Press SPACE BAR to readback AXEMAN instructions","（AXEMAN：攻击起始点（IP）位于我所在的位置。方向246，1.1海里，1785，单兵防空导弹（MANPAD），KN 6784 5798，无标记，东北1700，向东脱离。）\
\
按空格键复述AXEMAN指令。"
DictKey_ActionText_,1145,DictKey_ActionText_1145,",",","
DictKey_ActionText_,1147,DictKey_ActionText_1147,,
DictKey_ActionText_,1149,DictKey_ActionText_1149,"(AXEMAN: Offset 036, 300 feet, 1850, infantry, KN 695 587, marked with WP, 100 south - west, egress west, troops in contact!)\
\
Press SPACE BAR to readback AXEMAN's message.","（AXEMAN：方向036，300英尺，1850，步兵，KN 695 587，白色烟雾标记，西南100，向西脱离，部队正在接敌！）\
\
按空格键复述AXEMAN的信息。"
DictKey_ActionText_,1152,DictKey_ActionText_1152,.,.
