Field Type,ID,Field Name,Original Text,Translated Text
DictKey_ActionRadioText_,70,DictKey_ActionRadioText_70,Test shooting,试射
DictKey_ActionRadioText_,71,DictKey_ActionRadioText_71,Test shooting,试射
DictKey_ActionRadioText_,339,DictKey_ActionRadioText_339,Order radio discipline,强调无线电纪律
DictKey_ActionRadioText_,340,DictKey_ActionRadioText_340,Allow pilots to chat,允许飞行员聊天
DictKey_ActionRadioText_,343,DictKey_ActionRadioText_343,,
DictKey_ActionRadioText_,344,DictKey_ActionRadioText_344,,
DictKey_ActionRadioText_,347,DictKey_ActionRadioText_347,Order radio discipline,强调无线电纪律
DictKey_ActionRadioText_,348,DictKey_ActionRadioText_348,Allow pilots to chat,允许飞行员聊天
DictKey_ActionRadioText_,349,DictKey_ActionRadioText_349,Order radio discipline,强调无线电纪律
DictKey_ActionRadioText_,350,DictKey_ActionRadioText_350,Allow pilots to chat,允许飞行员聊天
DictKey_ActionRadioText_,367,DictKey_ActionRadioText_367,,
DictKey_ActionRadioText_,368,DictKey_ActionRadioText_368,,
DictKey_ActionRadioText_,706,DictKey_ActionRadioText_706,,
DictKey_ActionRadioText_,707,DictKey_ActionRadioText_707,,
DictKey_ActionRadioText_,708,DictKey_ActionRadioText_708,Test shooting,试射
DictKey_ActionRadioText_,759,DictKey_ActionRadioText_759,Enemy units destroyed,敌方单位已摧毁
DictKey_ActionRadioText_,762,DictKey_ActionRadioText_762,,
DictKey_ActionRadioText_,764,DictKey_ActionRadioText_764,,
DictKey_ActionRadioText_,765,DictKey_ActionRadioText_765,,
DictKey_ActionRadioText_,766,DictKey_ActionRadioText_766,Enemy units destroyed,敌方单位已摧毁
DictKey_ActionRadioText_,795,DictKey_ActionRadioText_795,38T KN 9441 4518.,38T KN 9441 4518。
DictKey_ActionRadioText_,796,DictKey_ActionRadioText_796,,
DictKey_ActionRadioText_,797,DictKey_ActionRadioText_797,38T KN 9441 4518.,38T KN 9441 4518。
DictKey_ActionText_,305,DictKey_ActionText_305,Press SPACE BAR when ready to begin first part of the briefing.,准备好开始第一段飞行任务的简报时，按空格键。
DictKey_ActionText_,306,DictKey_ActionText_306,.,.
DictKey_ActionText_,307,DictKey_ActionText_307,,
DictKey_ActionText_,308,DictKey_ActionText_308,Press SPACE BAR when you reach cruise altitude (15 000 feet) and when you are ready to begin second part of the in-flight briefing.,"到达巡航高度（15,000英尺）并准备好开始第二段飞行任务的简报时，按空格键。"
DictKey_ActionText_,333,DictKey_ActionText_333,.,.
DictKey_ActionText_,334,DictKey_ActionText_334,,
DictKey_ActionText_,341,DictKey_ActionText_341,Use F-10 radio menu to decide whether you will ask the pilots to maintain the radio discipline or allow the pilots to chat freely.,使用F-10无线电菜单决定，要求飞行员保持无线电纪律，或允许飞行员自由聊天。
DictKey_ActionText_,345,DictKey_ActionText_345,.,.
DictKey_ActionText_,351,DictKey_ActionText_351,.,.
DictKey_ActionText_,369,DictKey_ActionText_369,,
DictKey_ActionText_,399,DictKey_ActionText_399,,
DictKey_ActionText_,401,DictKey_ActionText_401,,
DictKey_ActionText_,405,DictKey_ActionText_405,Push frequency for BEHOLDER and press SPACE BAR to check in with him.,调整到BEHOLDER的频率，并按空格键与其联系。
DictKey_ActionText_,407,DictKey_ActionText_407,.,.
DictKey_ActionText_,500,DictKey_ActionText_500,,
DictKey_ActionText_,502,DictKey_ActionText_502,Press SPACE BAR to check in with Beholder at WP 3.,到达航路点3时按空格键与Beholder联系。
DictKey_ActionText_,503,DictKey_ActionText_503,.,.
DictKey_ActionText_,504,DictKey_ActionText_504,,
DictKey_ActionText_,542,DictKey_ActionText_542,Descend to 750 feet. This message will disappear when you reach the correct altitude.,下降到750英尺。到达正确高度时，此信息将消失。
DictKey_ActionText_,543,DictKey_ActionText_543,.,.
DictKey_ActionText_,694,DictKey_ActionText_694,"Switch to Hunter's frequency. \
\
Press SPACE BAR when you have done so.",切换到Hunter的频率。完成后按空格键。
DictKey_ActionText_,696,DictKey_ActionText_696,.,.
DictKey_ActionText_,709,DictKey_ActionText_709,Press SPACE BAR when you are visual on smoke.,看到烟雾时按空格键。
DictKey_ActionText_,711,DictKey_ActionText_711,,
DictKey_ActionText_,713,DictKey_ActionText_713,,
DictKey_ActionText_,714,DictKey_ActionText_714,"Group of vehicles and some armed footmobiles. \
\
Grid 37T KN 9441 4518.","一组车辆和一些武装步兵。\
\
坐标网格37T KN 9441 4518。"
DictKey_ActionText_,717,DictKey_ActionText_717,,
DictKey_ActionText_,719,DictKey_ActionText_719,"Press SPACE BAR when you have a clear, unobstructed view on what is going on in the village - both at the terrorists and people held on the gunpoint. \
\
(You can check the coordinates under F-10 menu).","当你对村庄的情况有清晰、无障碍的视野时，按空格键——包括恐怖分子和被枪指着的人。\
\
（你可以在F-10菜单下查看坐标）。"
DictKey_ActionText_,722,DictKey_ActionText_722,.,.
DictKey_ActionText_,723,DictKey_ActionText_723,Switch to correct frequency and press SPACE BAR to contact Overlord.,切换到正确的频率并按空格键联系Overlord。
DictKey_ActionText_,752,DictKey_ActionText_752,.,.
DictKey_ActionText_,757,DictKey_ActionText_757,"You are cleared to engage targets.\
\
Once you think the area is clear, use F-10 radio menu to report to Overlord that your task is complete. \
\
Remember to switch to correct frequency!\
\
Press SPACE BAR to remove this message","你已获准攻击目标。\
\
一旦你认为区域已清理完毕，使用F-10无线电菜单向Overlord报告任务完成。\
\
记得切换到正确的频率！\
\
按空格键以移除此信息。"
DictKey_ActionText_,760,DictKey_ActionText_760,.,.
DictKey_ActionText_,763,DictKey_ActionText_763,.,.
DictKey_ActionText_,788,DictKey_ActionText_788,.,.
DictKey_ActionText_,789,DictKey_ActionText_789,"MISSION COMPLETE\
\
Taxi to the parking spot and shut down your plane.","任务完成\
\
滑行到停机位并关闭飞机。"
DictKey_ActionText_,1206,DictKey_ActionText_1206,,
