Field Type,ID,Field Name,Original Text,Translated Text
DictKey_ActionRadioText_,713,DictKey_ActionRadioText_713,Wing Close Formation,僚机密集编队
DictKey_ActionRadioText_,716,DictKey_ActionRadioText_716,Wing Open Formation,僚机开放编队
DictKey_ActionRadioText_,721,DictKey_ActionRadioText_721,Wing RTB,僚机返航（RTB）
DictKey_ActionRadioText_,722,DictKey_ActionRadioText_722,Wing Hold Position,僚机保持位置
DictKey_ActionRadioText_,725,DictKey_ActionRadioText_725,Wing Trail Formation,僚机纵队编队
DictKey_ActionRadioText_,726,DictKey_ActionRadioText_726,Wing Attack Ground Units,僚机攻击地面单位
DictKey_ActionRadioText_,742,DictKey_ActionRadioText_742,Wing Attack Air Defences,僚机攻击防空系统
DictKey_ActionRadioText_,751,DictKey_ActionRadioText_751,Wing Attack Armour,僚机攻击装甲部队
DictKey_ActionRadioText_,763,DictKey_ActionRadioText_763,TEST EVADE ON,测试规避开启
DictKey_ActionRadioText_,874,DictKey_ActionRadioText_874,,
DictKey_ActionRadioText_,875,DictKey_ActionRadioText_875,,
DictKey_ActionRadioText_,876,DictKey_ActionRadioText_876,,
DictKey_ActionRadioText_,877,DictKey_ActionRadioText_877,,
DictKey_ActionRadioText_,878,DictKey_ActionRadioText_878,,
DictKey_ActionRadioText_,879,DictKey_ActionRadioText_879,,
DictKey_ActionRadioText_,880,DictKey_ActionRadioText_880,,
DictKey_ActionRadioText_,881,DictKey_ActionRadioText_881,,
DictKey_ActionRadioText_,882,DictKey_ActionRadioText_882,Wing Close Formation,僚机密集编队
DictKey_ActionRadioText_,883,DictKey_ActionRadioText_883,Wing Open Formation,僚机开放编队
DictKey_ActionRadioText_,884,DictKey_ActionRadioText_884,Wing Trail Formation,僚机纵队编队
DictKey_ActionRadioText_,885,DictKey_ActionRadioText_885,Wing Hold Position,僚机保持位置
DictKey_ActionRadioText_,886,DictKey_ActionRadioText_886,,
DictKey_ActionRadioText_,887,DictKey_ActionRadioText_887,Wing RTB,僚机返航（RTB）
DictKey_ActionRadioText_,888,DictKey_ActionRadioText_888,Wing Attack Ground Units,僚机攻击地面单位
DictKey_ActionRadioText_,889,DictKey_ActionRadioText_889,Wing Attack Air Defences,僚机攻击防空系统
DictKey_ActionRadioText_,890,DictKey_ActionRadioText_890,Wing Attack Armour,僚机攻击装甲部队
DictKey_ActionRadioText_,957,DictKey_ActionRadioText_957,Request Startup,请求启动
DictKey_ActionRadioText_,958,DictKey_ActionRadioText_958,,
DictKey_ActionRadioText_,959,DictKey_ActionRadioText_959,Request Startup,请求启动
DictKey_ActionRadioText_,979,DictKey_ActionRadioText_979,,
DictKey_ActionRadioText_,980,DictKey_ActionRadioText_980,Request Taxi,请求滑行
DictKey_ActionRadioText_,981,DictKey_ActionRadioText_981,Request Taxi,请求滑行
DictKey_ActionRadioText_,982,DictKey_ActionRadioText_982,Request Takeoff,请求起飞
DictKey_ActionRadioText_,986,DictKey_ActionRadioText_986,Request Takeoff,请求起飞
DictKey_ActionRadioText_,993,DictKey_ActionRadioText_993,Request Startup,请求启动
DictKey_ActionRadioText_,994,DictKey_ActionRadioText_994,Request Taxi,请求滑行
DictKey_ActionRadioText_,995,DictKey_ActionRadioText_995,Request Takeoff,请求起飞
DictKey_ActionRadioText_,1249,DictKey_ActionRadioText_1249,Contact Gunman 1-1,联系Gunman 1-1
DictKey_ActionRadioText_,1250,DictKey_ActionRadioText_1250,Contact Gunman 1-1,联系Gunman 1-1
DictKey_ActionRadioText_,1251,DictKey_ActionRadioText_1251,Contact Gunman 1-1,联系Gunman 1-1
DictKey_ActionRadioText_,1252,DictKey_ActionRadioText_1252,,
DictKey_ActionRadioText_,1253,DictKey_ActionRadioText_1253,Contact Gunman 1-1,联系Gunman 1-1
DictKey_ActionRadioText_,1260,DictKey_ActionRadioText_1260,Contact Gunman 1-1,联系Gunman 1-1
DictKey_ActionRadioText_,1261,DictKey_ActionRadioText_1261,Contact Gunman 1-1,联系Gunman 1-1
DictKey_ActionRadioText_,1262,DictKey_ActionRadioText_1262,Contact Gunman 1-1,联系Gunman 1-1
DictKey_ActionRadioText_,1263,DictKey_ActionRadioText_1263,Contact Gunman 1-1,联系Gunman 1-1
DictKey_ActionRadioText_,1286,DictKey_ActionRadioText_1286,Check-in with Overlord,向Overlord报到
DictKey_ActionRadioText_,1288,DictKey_ActionRadioText_1288,,
DictKey_ActionRadioText_,1298,DictKey_ActionRadioText_1298,,
DictKey_ActionRadioText_,1299,DictKey_ActionRadioText_1299,Check-in with Overlord,向Overlord报到
DictKey_ActionRadioText_,1301,DictKey_ActionRadioText_1301,,
DictKey_ActionRadioText_,1357,DictKey_ActionRadioText_1357,Repeat coordinates,重复坐标
DictKey_ActionRadioText_,1358,DictKey_ActionRadioText_1358,,
DictKey_ActionRadioText_,1359,DictKey_ActionRadioText_1359,Repeat coordinates,重复坐标
DictKey_ActionRadioText_,1361,DictKey_ActionRadioText_1361,Repeat coordinates,重复坐标
DictKey_ActionRadioText_,1369,DictKey_ActionRadioText_1369,,
DictKey_ActionRadioText_,1425,DictKey_ActionRadioText_1425,In position,就位
DictKey_ActionRadioText_,1427,DictKey_ActionRadioText_1427,,
DictKey_ActionRadioText_,1428,DictKey_ActionRadioText_1428,In position,就位
DictKey_ActionRadioText_,1433,DictKey_ActionRadioText_1433,,
DictKey_ActionRadioText_,1439,DictKey_ActionRadioText_1439,Attack Completed,攻击完成
DictKey_ActionRadioText_,1440,DictKey_ActionRadioText_1440,Attack Completed,攻击完成
DictKey_ActionRadioText_,1472,DictKey_ActionRadioText_1472,,
DictKey_ActionRadioText_,1481,DictKey_ActionRadioText_1481,Attack Completed,攻击完成
DictKey_ActionRadioText_,1482,DictKey_ActionRadioText_1482,Attack Completed,攻击完成
DictKey_ActionRadioText_,1484,DictKey_ActionRadioText_1484,In position,就位
DictKey_ActionRadioText_,1486,DictKey_ActionRadioText_1486,,
DictKey_ActionRadioText_,1487,DictKey_ActionRadioText_1487,,
DictKey_ActionRadioText_,1488,DictKey_ActionRadioText_1488,In position,就位
DictKey_ActionRadioText_,1664,DictKey_ActionRadioText_1664,Request Landing,请求着陆
DictKey_ActionRadioText_,1665,DictKey_ActionRadioText_1665,,
DictKey_ActionRadioText_,1666,DictKey_ActionRadioText_1666,Request Landing,请求着陆
DictKey_ActionRadioText_,1667,DictKey_ActionRadioText_1667,Request Landing,请求着陆
DictKey_ActionRadioText_,1668,DictKey_ActionRadioText_1668,Request Landing,请求着陆
DictKey_ActionRadioText_,1671,DictKey_ActionRadioText_1671,,
DictKey_ActionRadioText_,1676,DictKey_ActionRadioText_1676,Attack Completed,攻击完成
DictKey_ActionRadioText_,1687,DictKey_ActionRadioText_1687,,
DictKey_ActionRadioText_,1689,DictKey_ActionRadioText_1689,Attack Complete,攻击完成
DictKey_ActionRadioText_,1691,DictKey_ActionRadioText_1691,,
DictKey_ActionRadioText_,1693,DictKey_ActionRadioText_1693,Attack Complete,攻击完成
DictKey_ActionRadioText_,1702,DictKey_ActionRadioText_1702,Return to Base,返航（RTB）
DictKey_ActionRadioText_,1704,DictKey_ActionRadioText_1704,,
DictKey_ActionRadioText_,1706,DictKey_ActionRadioText_1706,Return to Base,返航（RTB）
DictKey_ActionRadioText_,1713,DictKey_ActionRadioText_1713,,
DictKey_ActionRadioText_,1717,DictKey_ActionRadioText_1717,Request Landing,请求着陆
DictKey_ActionRadioText_,1876,DictKey_ActionRadioText_1876,Contact Gunman 1-1,联系Gunman 1-1
DictKey_ActionRadioText_,1913,DictKey_ActionRadioText_1913,Ask about Davy's callsign.,询问Davy的呼号由来。
DictKey_ActionRadioText_,1987,DictKey_ActionRadioText_1987,,
DictKey_ActionRadioText_,1990,DictKey_ActionRadioText_1990,Ask about Davy's callsign,询问Davy的呼号由来。
DictKey_ActionRadioText_,1991,DictKey_ActionRadioText_1991,Ask about Davy's callsign,询问Davy的呼号由来。
DictKey_ActionRadioText_,1992,DictKey_ActionRadioText_1992,What's the round building I saw below?,我在下面看到的圆形建筑是什么？
DictKey_ActionRadioText_,1993,DictKey_ActionRadioText_1993,What's the round building I saw below?,我在下面看到的圆形建筑是什么？
DictKey_ActionRadioText_,1994,DictKey_ActionRadioText_1994,Ask about Davy's callsign,询问Davy的呼号由来。
DictKey_ActionRadioText_,1995,DictKey_ActionRadioText_1995,What's the round building I saw below?,我在下面看到的圆形建筑是什么？
DictKey_ActionRadioText_,2000,DictKey_ActionRadioText_2000,Ask about Davy's experience,询问Davy的经历。
DictKey_ActionRadioText_,2001,DictKey_ActionRadioText_2001,,
DictKey_ActionRadioText_,2002,DictKey_ActionRadioText_2002,Ask about Davy's experience,询问Davy的经历。
DictKey_ActionRadioText_,2003,DictKey_ActionRadioText_2003,Ask about Davy's experience,询问Davy的经历。
DictKey_ActionRadioText_,2004,DictKey_ActionRadioText_2004,,
DictKey_ActionRadioText_,2068,DictKey_ActionRadioText_2068,Request Landing,请求着陆
DictKey_ActionRadioText_,2078,DictKey_ActionRadioText_2078,,
DictKey_ActionRadioText_,2084,DictKey_ActionRadioText_2084,,
DictKey_ActionRadioText_,2088,DictKey_ActionRadioText_2088,Request Landing,请求着陆
DictKey_ActionText_,767,DictKey_ActionText_767,,
DictKey_ActionText_,989,DictKey_ActionText_989,You failed to obey the ATC commands.  The mission is failed.  Please exit and try again.,你未能遵守空中交通管制（ATC）的指令。任务失败。请退出并重试。
DictKey_ActionText_,1061,DictKey_ActionText_1061,"Welcome to Mission 1.\
\
Please note that all radio commands should be made via the F10 menu, including control of your wingman once airborne, ATC and AWACS.\
\
Failure to follow ATC procedures will result in mission failure.\
\
Please make sure radios are tuned correctly throughout the mission.\
\
Failure to follow instructions and assignments will prevent you completing the mission.","欢迎来到任务1。\
\
请注意，所有无线电指令应通过F10菜单进行，包括对僚机、空中交通管制（ATC）和预警机（AWACS）的通信和指令。\
\
未遵循ATC程序将导致任务失败。\
\
请确保在整个任务中正确设置无线电。\
\
未能遵循指令和任务分配将导致无法完成任务。"
DictKey_ActionText_,1248,DictKey_ActionText_1248,"Use the F10 menu to radio Gunman 1-1 when within 2 miles of WP2.\
\
Make sure you are tuned to 260 (chan 1) on your UHF radio.","在距离航路点2（WP2）两海里内使用F10菜单呼叫Gunman 1-1。\
\
确保你的UHF无线电调至260（频道1）。"
DictKey_ActionText_,1284,DictKey_ActionText_1284,"Use the F10 menu to contact Overlord.\
\
Make sure you are tuned to 128.5 (chan 2) on your VHF AM radio.","使用F10菜单联系Overlord。\
\
确保你的VHF AM无线电调至128.5（频道2）。"
DictKey_ActionText_,1285,DictKey_ActionText_1285,Use the F10 menu to contact Overlord.,使用F10菜单联系Overlord。
DictKey_ActionText_,1287,DictKey_ActionText_1287,,
DictKey_ActionText_,1297,DictKey_ActionText_1297,Use the F10 menu to contact Overlord.,使用F10菜单联系Overlord。
DictKey_ActionText_,1300,DictKey_ActionText_1300,,
DictKey_ActionText_,1306,DictKey_ActionText_1306,Press spacebar when ready to receive coordinates.,准备好接收坐标时按空格键。
DictKey_ActionText_,1309,DictKey_ActionText_1309,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
DictKey_ActionText_,1360,DictKey_ActionText_1360,40 Q BM 12861 35616\,40 Q BM 12861 35616
DictKey_ActionText_,1362,DictKey_ActionText_1362,,
DictKey_ActionText_,1370,DictKey_ActionText_1370,"Press spacebar when the WP is set into the CDU.\
\
If you need the coodinates repeating then request via the F10 menu.","将航路点设置到CDU后按空格键。\
\
如果需要重复坐标，请通过F10菜单请求。"
DictKey_ActionText_,1405,DictKey_ActionText_1405,Press spacebar when your VHF FM radio is set to 46.2 (chan 1).,当你的VHF FM无线电设置为46.2（频道1）时按空格键。
DictKey_ActionText_,1412,DictKey_ActionText_1412,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  tyyyytyyt,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  tyyyytyyt
DictKey_ActionText_,1424,DictKey_ActionText_1424,"Head 5 miles south of the range and orbit at 5,000 feet.  Once in position contact Gunman 1-1 via the F10 menu.\","前往靶场以南5海里处，在5,000英尺高度盘旋。到达位置后，通过F10菜单联系Gunman 1-1。"
DictKey_ActionText_,1426,DictKey_ActionText_1426,,
DictKey_ActionText_,1438,DictKey_ActionText_1438,"When you have finished attacking the target contact Gunman 1-1 via the F10 menu.\
\
You must hit a target within the group and avoid collateral damage to succeed.\
\
Attack along the 328 radial using guns.","完成攻击目标后，通过F10菜单联系Gunman 1-1。\
\
你必须命中目标群中的至少一个目标，并避免附带损害才能成功。\
\
沿328径向使用机炮攻击。"
DictKey_ActionText_,1470,DictKey_ActionText_1470,"You hit your own forces!  The mission is failed, please exit now.",你击中了己方部队！任务失败，请立即退出。
DictKey_ActionText_,1471,DictKey_ActionText_1471,,
DictKey_ActionText_,1483,DictKey_ActionText_1483,Once in position 5 miles north of the range contact Gunman 1-1 via the F10 menu.,到达靶场以北5海里处后，通过F10菜单联系Gunman 1-1。
DictKey_ActionText_,1485,DictKey_ActionText_1485,,
DictKey_ActionText_,1656,DictKey_ActionText_1656,,
DictKey_ActionText_,1657,DictKey_ActionText_1657,You achieved the mission objective but as you failed to follow the ATC procedures the overall mission is a fail.,你达成了任务目标，但由于未遵循空中交通管制（ATC）程序，整体任务失败。
DictKey_ActionText_,1669,DictKey_ActionText_1669,You achieved the mission objective but as you failed to follow the ATC procedures the overall mission is a fail.,你达成了任务目标，但由于未遵循空中交通管制（ATC）程序，整体任务失败。
DictKey_ActionText_,1672,DictKey_ActionText_1672,40 Q BM 12861 35616\,40 Q BM 12861 35616
